category	-log10(pvalue)	zscore	ratio	molecules	direction
Estrogen Receptor Signaling	0	-0.417	0.461	ADCY5, ADCY8, AKT1, AKT2, AKT3, ATF4, ATP5F1C, ATP5F1D, ATP5MC1, CACNA1C, CACNA1S, CACNB1, CACNB4, CACNG1, CACNG6, CARM1, CAV1, CCNC, CCND1, CDK8, CDKN1A, CFL2, CREB3L2, DDX5, EGFR, EIF2B2, EIF2B4, EIF4EBP1, ESR1, FBXO32, FOXO1, FOXO4, GNA13, GNAI2, GNAL, GNB1, GNB2, GNG2, GPS2, HES1, HRAS, HSP90AA1, JUN, KRAS, MAP2K1, MAPK3, MCU, MED1, MED12, MED12L, MED14, MED20, MED21, MED6, MMP14, MPRIP, MRAS, MT-CYB, MT-ND1, MT-ND2, MT-ND4, MTOR, MYL1, MYL4, MYL9, MYLPF, NCOA1, NDUFA10, NDUFA6, NDUFA9, NDUFAF1, NDUFB5, NDUFB7, NDUFS1, NDUFV1, NDUFV2, NFKB1, NOTCH1, NRAS, PCNA, PDGFC, PDIA3, PELP1, PIK3CB, PIK3R1, PIK3R3, PLCD4, PPARGC1A, PRKAA1, PRKAB1, PRKAB2, PRKACA, PRKAG3, PRKAR1A, PRKAR2B, PRKCE, PRKCI, PRKCQ, RALA, RBFOX2, RELA, RHOA, ROCK1, RRAS, SDHD, SHE, SRA1, TBL1XR1, TP53, TRIM63, UQCRC2, VEGFD		negative
Estrogen-mediated S-phase Entry	0	-0.816	0.4	CCND1, CCNE2, CDC25A, CDKN1A, E2F6, ESR1		negative
FAK Signaling	0	0	0.46	ACVR1, ACVR2A, ADGRA3, ADGRG1, ADGRL3, ADRB2, AGO2, AKT1, AKT2, AKT3, ARPC1B, ARPC3, ARPC4, ASAP1, BCAR1, BCAR3, BDKRB2, BMPR2, CAPN1, CAPN2, CAPN3, CAPN7, CAPNS1, CCND1, CD3G, CDH5, CNR1, COL1A2, COL3A1, COL5A3, CRHR2, CRK, CSF2RB, CTNNB1, CYSLTR1, ECM1, EFNB1, EGFR, ELF1, ERBB2, ETS1, ETS2, F2R, F2RL1, FZD7, GHR, GPR155, GPR34, GPR37L1, GPRC5C, GPRC6A, HRAS, HTR1B, HTR2B, IL12RB2, IL17RA, IL17RC, IL17RD, IL17RE, IL1R1, IL33, IL4R, IL6R, IL6ST, ITGA10, ITGA11, ITGA3, ITGA6, ITGA7, ITGAV, ITGB1, JUN, KRAS, LGR4, LPAR4, LPAR6, MAP2K1, MAPK12, MAPK14, MAPK3, MAPK7, MAPK8, MC5R, MET, MMP14, MRAS, MTOR, NCK2, NEDD9, NFKB1, NPY1R, NRAS, PAK4, PDGFRA, PDPK1, PIK3CB, PIK3R1, PIK3R3, PTGER3, PTGER4, PTK2, PTPN12, RALA, RASA1, RB1CC1, RHOA, RRAS, RXFP1, S1PR1, S1PR3, SDCBP, SH3GL1, SOCS2, SOCS3, SOCS7, TGFB1, TGFB2, TGFB3, TGFBR2, TP53, Wasl, WIPF1		no direction
Factors Promoting Cardiogenesis in Vertebrates	0	-0.73	0.457	ACVR1, ACVR2A, ATF4, BMP8A, BMPR1B, BMPR2, CAMK2D, CAMK2G, CCND1, CREB3L2, CTNNB1, FZD7, GJA5, LRP1, MAPK12, MAPK14, MAPK8, MEF2C, NOG, PDIA3, PLCD4, PRKCE, PRKCI, PRKCQ, RHOA, ROCK1, SMAD4, TGFB1, TGFB2, TGFB3, TGFBR2, WNT9A		negative
Fcγ Receptor-mediated Phagocytosis in Macrophages and Monocytes	0	1.46	0.397	ACTA1, ACTA2, ACTB, ACTC1, AKT1, AKT2, AKT3, ARPC1B, ARPC3, ARPC4, CRK, EZR, GAB2, MAPK3, MYO5A, NCK2, PIK3R1, PIK3R3, PRKCE, PRKCI, PRKCQ, RAB11B, TLN2		positive
G Protein Signaling Mediated by Tubby	0	0	0.444	GNA13, GNAI2, GNAL, GNB1, GNB2, GNG2, INSR, MRAS		no direction
G-Protein Coupled Receptor Signaling	0	-0.178	0.433	ADCY5, ADCY8, ADGRA3, ADGRG1, ADGRL3, ADRB2, AKT1, AKT2, AKT3, AMOT, ARRB1, ATF4, BDKRB2, Calm1 (includes others), CAMK2D, CAMK2G, CARD10, CCND1, CHP1, CNR1, CREB3L2, CRHR2, CRK, CTNNB1, CYSLTR1, DUSP1, DUSP6, F2R, F2RL1, FOXO1, FOXO4, FZD7, GNA13, GNAI2, GNAL, GNB1, GNB2, GNG2, GPR155, GPR34, GPR37L1, GPRC5C, GPRC6A, GRK4, GRK5, HRAS, HTR1B, HTR2B, IKBKB, IKBKG, JUN, KCNN3, KRAS, LGR4, LPAR4, LPAR6, MAP2K1, MAP2K3, MAP2K6, MAP2K7, MAP3K1, MAP3K10, MAP3K2, MAP3K5, MAPK12, MAPK14, MAPK3, MAPK7, MAPK8, MC5R, MEF2A, MEF2C, MEF2D, MKNK1, MRAS, MTOR, MYL1, MYL4, MYL9, MYLK, MYLK3, MYLPF, NFAT5, NFATC1, NFATC2, NFKB1, NFKBIA, NFKBIB, NPR3, NPY1R, NRAS, PAK4, PDE1C, PDE7A, PDE7B, PDE8A, PDPK1, PIK3CB, PIK3R1, PIK3R3, PPP3CA, PPP3CB, PPP3R1, PREX1, PRKACA, PRKAR1A, PRKAR2B, PRKCE, PTGER3, PTGER4, PTK2, RALA, RAPGEF1, RASA1, RELA, RGS2, ROCK1, RRAS, RXFP1, S1PR1, S1PR3, SIX1, SRF, STAT3, TTN, WWTR1, YAP1		negative
GABA Receptor Signaling	0	0	0.426	ADCY5, ADCY8, AP2A2, CACNA1C, CACNA1H, CACNA1S, CACNB1, CACNB4, CACNG1, CACNG6, GABRA1, GNA13, GNAI2, GNAL, GNB1, GNB2, GNG2, GPHN, ITPR2, KCNN3, MRAS, Ubb, UBC		no direction
GPCR-Mediated Integration of Enteroendocrine Signaling Exemplified by an L Cell	0	-2.53	0.37	ADCY5, ADCY8, ADRB2, GNAI2, ITPR2, PDIA3, PLCD4, PRKACA, PRKAR1A, PRKAR2B		negative
GPCR-Mediated Nutrient Sensing in Enteroendocrine Cells	0	0.894	0.377	ADCY5, ADCY8, CACNA1C, CACNA1H, CACNA1S, CACNB1, CACNB4, CACNG1, CACNG6, GNAI2, GNG2, ITPR2, PDIA3, PLCD4, PRKACA, PRKAR1A, PRKAR2B, PRKCE, PRKCI, PRKCQ		positive
Glucocorticoid Biosynthesis	0	0	0.333	Gsta4		no direction
Gluconeogenesis I	0	1.414	0.444	ALDOA, ALDOB, BPGM, FBP1, FBP2, GAPDH, GPI, ME2		positive
Glutathione Redox Reactions I	0	0	0.375	GPX3, Gsta4, GSTM1, MGST3, PRDX6, PTGES		no direction
Glycogen Degradation II	0	0	0.4	PGM1, PYGM		no direction
Graft-versus-Host Disease Signaling	0	0	0.333	CD3G, CD80, FAS, HLA-A, IL33, IL6		no direction
Granulocyte Adhesion and Diapedesis	0	0	0.303	CCL5, Ccl7, CDH5, CXCL10, CXCL13, EZR, GLG1, GNAI2, IL1R1, IL1RAP, IL33, ITGB1, MMP14, NGFR, RDX, SDC2, SELP, TNFRSF11B, TNFRSF1B, VCAM1		no direction
Granzyme A Signaling	0	0	0.4	H1-0, H1-2		no direction
Granzyme B Signaling	0	0	0.3	APAF1, CASP3, DFFA		no direction
Gustation Pathway	0	0.186	0.46	ABCC8, ABCC9, ADCY5, ADCY8, CACNA1C, CACNA1H, CACNA1S, CACNB1, CACNB4, CACNG1, CACNG6, GABRA1, ITPR2, KCNN3, LIPA, LIPE, LIPG, LPAR6, LPL, P2RX1, P2RX6, PRKACA, PRKAR1A, PRKAR2B, SCN1B, SCN4A, SCN7A, SLC2A4, STIM1		positive
Gαi Signaling	0	0.209	0.435	ADCY5, ADCY8, CAV1, CNR1, GNA13, GNAI2, GNAL, GNB1, GNB2, GNG2, HRAS, HTR1B, KRAS, MAPK3, MRAS, NPR3, NPY1R, NRAS, PRKACA, PRKAR1A, PRKAR2B, PTGER3, RALA, RRAS, S1PR1, S1PR3, STAT3		positive
Gαs Signaling	0	-0.426	0.45	ADCY5, ADCY8, ADD1, ADD2, ADD3, ADRB2, ATF4, CNR1, CREB3L2, GNA13, GNAI2, GNAL, GNB1, GNB2, GNG2, MAP2K1, MAPK3, MC5R, MRAS, PRKACA, PRKAR1A, PRKAR2B, PTGER4, RAPGEF2, RGS2, RYR1, RYR3		negative
Histamine Degradation	0	0	0.429	ALDH1A1, ALDH3A2, Aldh3b2		no direction
Histidine Degradation VI	0	0	0.333	CYP11A1, CYP26B1, MICAL2		no direction
IL-4 Signaling	0	0	0.458	AKT1, AKT2, AKT3, HLA-A, HRAS, IL4R, INPP5K, INPPL1, IRS1, KRAS, MRAS, MTOR, NFAT5, NFATC1, NFATC2, NRAS, PIK3CB, PIK3R1, PIK3R3, RALA, RRAS, STAT6		no direction
Inflammasome pathway	0	0.447	0.455	MYD88, NEK7, NFKB1, PYCARD, TLR4		positive
Intrinsic Prothrombin Activation Pathway	0	1	0.333	COL1A2, COL3A1, COL5A3, F2, THBD		positive
Iron homeostasis signaling pathway	0	0	0.465	ATP6AP1, ATP6AP2, ATP6V0A1, ATP6V0C, ATP6V0D1, ATP6V0E2, ATP6V1A, ATP6V1C1, ATP6V1E1, BMP8A, BMPR1B, BMPR2, CD163, CIAO1, CIAO2A, CUL1, EGFR, ERFE, FECH, FTH1, FXN, GDF15, HFE, HP, IL6, IL6R, IREB2, LRP1, MAPK3, MCOLN1, PCBP1, PDGFA, PDGFB, PDGFRA, SLC11A2, SMAD3, SMAD4, STAT3, TF, TFRC		no direction
Ketogenesis	0	0	0.333	ACAA2, HADHA		no direction
Leucine Degradation I	0	0	0.286	ACADM, BCAT2		no direction
Leukocyte Extravasation Signaling	0	0.603	0.46	ACTA1, ACTA2, ACTB, ACTC1, ACTN2, ACTN4, AFDN, ARHGAP5, ARHGAP6, BCAR1, CD44, CDH5, CRK, CTNNA1, CTNNA3, CTNNB1, CTTN, DLC1, EZR, F11R, FER, GNAI2, ITGA3, ITGB1, MAPK12, MAPK14, MAPK8, MMP14, PIK3CB, PIK3R1, PIK3R3, PRKCE, PRKCI, PRKCQ, PTK2, PTPN11, RASSF5, RDX, RHOA, ROCK1, TIMP2, TIMP3, VCAM1, VCL, Wasl, WIPF1		positive
Mechanisms of Viral Exit from Host Cells	0	0	0.464	ACTA1, ACTA2, ACTB, ACTC1, CHMP2B, PRKCE, PRKCI, PRKCQ, SH3GL1, SH3GLB1, VPS36, VPS4A, XPO1		no direction
Melanocyte Development and Pigmentation Signaling	0	-0.426	0.418	ADCY5, ADCY8, ATF4, CREB3L2, CRK, HRAS, KITLG, KRAS, MAP2K1, MAPK3, MRAS, NRAS, PIK3CB, PIK3R1, PIK3R3, PRKACA, PRKAR1A, PRKAR2B, PTPN11, RALA, RPS6KA2, RPS6KA5, RRAS		negative
Melatonin Degradation I	0	0	0.167	CYP2U1, LARGE1, POR		no direction
Melatonin Signaling	0	0.688	0.4	Calm1 (includes others), CAMK2D, CAMK2G, GNAI2, MAP2K1, MAP2K3, MAP2K6, MAP2K7, MAPK3, PDIA3, PLCD4, PRKACA, PRKAR1A, PRKAR2B, PRKCE, PRKCI, PRKCQ, RORA, RORB, SLC2A4		positive
Mevalonate Pathway I	0	0	0.4	ACAA2, HADHA		no direction
Mineralocorticoid Biosynthesis	0	0	0.333	Gsta4		no direction
Mitochondrial Dysfunction	0	0	0.367	APH1B, APP, ATP5F1C, ATP5F1D, ATP5MC1, ATP5MG, ATPAF2, BACE1, CASP3, COX5A, COX6A1, COX7A2, COX7B, Cox8b, CPT1A, CYB5B, GPD2, LRRK2, MAOA, MAOB, MAPK12, MAPK8, MT-CO1, MT-CYB, MT-ND1, MT-ND2, MT-ND4, NCSTN, NDUFA10, NDUFA6, NDUFA9, NDUFAF1, NDUFB5, NDUFB7, NDUFS1, NDUFV1, NDUFV2, OGDH, PDHA1, PINK1, PRDX3, PRKN, PSEN1, RHOT2, SDHD, UCP2, UQCRC2		no direction
N-acetylglucosamine Degradation I	0	0	0.333	AMDHD2		no direction
N-acetylglucosamine Degradation II	0	0	0.333	AMDHD2		no direction
NAD Salvage Pathway II	0	0	0.25	NMRK2, NUDT12		no direction
NADH Repair	0	0	0.333	GAPDH		no direction
NRF2-mediated Oxidative Stress Response	0	0	0.463	ABCC4, ACTA1, ACTA2, ACTB, ACTC1, AKR7A2, AKT1, ATF4, BACH1, CCT7, CYP2U1, DNAJA4, DNAJB1, DNAJB2, DNAJB5, DNAJC12, DNAJC19, DNAJC21, DNAJC4, DNAJC7, DNAJC9, FKBP5, FMO1, FTH1, GSTM1, GSTM3, GSTM5, GSTO1, HACD3, HRAS, HSP90AA1, HSPB8, JUN, KEAP1, KRAS, MAF, MAP2K1, MAP2K3, MAP2K6, MAP2K7, MAP3K1, MAP3K5, MAPK14, MAPK3, MAPK7, MAPK8, MGST3, MRAS, NQO1, NRAS, PIK3CB, PIK3R1, PIK3R3, PRKCE, PRKCI, PRKCQ, RALA, RRAS, SOD3, SQSTM1, TXNRD1, USP14		no direction
NUR77 Signaling in T Lymphocytes	0	0.853	0.453	APAF1, B2M, Calm1 (includes others), CASP3, CD3G, CD80, CHP1, HDAC2, HDAC9, HLA-A, MAP2K1, MAP3K2, MAPK3, MAPK7, MEF2D, NFATC1, PCNA, PDK1, PPP3CA, PPP3CB, PPP3R1, PRKCE, PRKCI, PRKCQ		positive
Necroptosis Signaling Pathway	0	-1.234	0.447	CAMK2D, CAMK2G, CAPN1, CAPN2, CAPN3, CAPN7, CAPNS1, CHP1, CYLD, DNM1L, EIF2AK2, FADD, FAS, GLUL, IKBKB, IKBKG, IRF3, MERTK, NGFR, PELI1, PGAM5, PLA2G3, PLA2G4A, PLA2G4E, PPP3CA, PPP3CB, PPP3R1, PYCARD, RBL2, RNF31, SLC25A3, TIMM10, TIMM13, TIMM22, TLR4, TNFRSF11B, TNFRSF1B, TOMM70, TP53, TRAF2, TSPO, UBC		negative
Neuropathic Pain Signaling In Dorsal Horn Neurons	0	0.894	0.417	BDNF, CAMK2D, CAMK2G, GRIN1, GRIN2A, GRINA, ITPR2, KCNN3, MAPK3, PDIA3, PIK3CB, PIK3R1, PIK3R3, PLCD4, PRKACA, PRKAR1A, PRKAR2B, PRKCE, PRKCI, PRKCQ		positive
Neuroprotective Role of THOP1 in Alzheimer's Disease	0	2.309	0.381	ACE, APP, HGFAC, HLA-A, HTRA1, HTRA3, IDE, LONP1, MAPT, PREP, PRKACA, PRKAR1A, PRKAR2B, PRSS23, PRSS36, TMPRSS9		positive
Neurovascular Coupling Signaling Pathway	0	-0.149	0.455	APP, BDKRB2, CACNA1C, CACNA1H, CACNA1S, CACNB1, CACNB4, CACNG1, CACNG6, Calm1 (includes others), GABRA1, GRIN1, GRIN2A, GRINA, ITPR2, KCNJ2, KCNMA1, KCNN3, MAPT, MPRIP, NPR3, P2RX1, PLA2G3, PLA2G4A, PLA2G4E, PLA2R1, PLAAT3, PLB1, PNPLA8, PRDX6, PRKACA, PRKAR1A, PRKAR2B, PRKG1, PTGER4, PTGS2, RHOA, ROCK1, RYR1, RYR3, SLC16A1, SLC1A3, SLCO2A1, STIM1, TRPC3		negative
Nicotine Degradation II	0	0	0.211	CYP2U1, FMO1, LARGE1, POR		no direction
Nicotine Degradation III	0	0	0.176	CYP2U1, LARGE1, POR		no direction
Nitric Oxide Signaling in the Cardiovascular System	0	0.378	0.457	AKT1, AKT2, AKT3, ATP2A1, ATP2A3, BDKRB2, CACNA1C, CACNA1S, CACNB1, CACNB4, CACNG1, CACNG6, Calm1 (includes others), CAV1, HSP90AA1, ITPR2, MAP2K1, MAPK3, PDE1C, PDGFC, PIK3CB, PIK3R1, PIK3R3, PRKAA1, PRKACA, PRKAR1A, PRKAR2B, PRKCE, PRKCI, PRKCQ, PRKG1, VEGFD		positive
Notch Signaling	0	1.342	0.45	APH1B, DTX4, HES1, MAML1, MAML3, NCSTN, NOTCH1, NOTCH3, PSEN1		positive
Nucleotide Excision Repair Pathway	0	0	0.364	CCNH, GTF2H2, GTF2H5, POLR2E, POLR2I, POLR2J, RAD23B, RPA1		no direction
Opioid Signaling Pathway	0	-0.378	0.435	ADCY5, ADCY8, AKT1, AKT2, AKT3, AP2A2, ARRB1, ATF4, CACNA1C, CACNA1H, CACNA1S, CACNB1, CACNB4, CACNG1, CACNG6, Calm1 (includes others), CAMK2D, CAMK2G, CREB3L2, CTNNB1, GNA13, GNAI2, GNAL, GNB1, GNB2, GNG2, GRIN1, GRIN2A, GRINA, GRK4, GRK5, HRAS, ITPR2, KRAS, MAP2K1, MAP2K3, MAP2K6, MAP2K7, MAPK12, MAPK3, MAPK7, MRAS, NFKB1, NFKBIA, NRAS, PDE1C, PDK1, PENK, PPP3CA, PPP3CB, PPP3R1, PRKACA, PRKAR1A, PRKAR2B, PRKCE, PRKCI, PRKCQ, RALA, RGS5, RGS8, RPS6KA2, RPS6KA5, RRAS, RYR1, RYR3, SCN7A, SRF		negative
Ovarian Cancer Signaling	0	-0.209	0.459	AKT1, AKT2, AKT3, ARRB1, CCND1, CD44, CTNNB1, E2F6, EDN1, EGFR, FZD7, HDAC11, HDAC2, HDAC4, HDAC5, HDAC6, HDAC9, HRAS, KRAS, MAP2K1, MAPK3, MRAS, MSH6, MTOR, NRAS, PDGFC, PIK3CB, PIK3R1, PIK3R3, PRKACA, PRKAR1A, PRKAR2B, PTGS2, RALA, RBL2, RRAS, TP53, VEGFD, WNT9A		negative
Oxidative Ethanol Degradation III	0	1.342	0.462	ACSL1, ACSS1, ALDH1A1, ALDH3A2, Aldh3b2, CYP2U1		positive
Oxidative Phosphorylation	0	-2.6	0.31	ATP5F1C, ATP5F1D, ATP5MC1, ATP5MG, ATPAF2, COX5A, COX6A1, COX7A2, COX7B, Cox8b, CYB5B, MT-CO1, MT-CYB, MT-ND1, MT-ND2, MT-ND4, NDUFA10, NDUFA6, NDUFA9, NDUFB5, NDUFB7, NDUFS1, NDUFV1, NDUFV2, SDHD, UQCRC2		negative
Oxytocin In Spinal Neurons Signaling Pathway	0	0	0.267	ABCC8, ABCC9, NPR3, PRKG1		no direction
PCP (Planar Cell Polarity) Pathway	0	-0.905	0.423	DAAM1, DVL3, EFNB1, FZD7, JUN, LGR4, MAPK12, MAPK8, RHOA, ROCK1, WNT9A		negative
Pentose Phosphate Pathway (Non-oxidative Branch)	0	0	0.333	TKT		no direction
Phagosome Formation	0	0.483	0.41	ADGRA3, ADGRG1, ADGRL3, ADRB2, AKT1, AKT2, AKT3, AP1S2, ARPC1B, ARPC3, ARPC4, BCAR1, BCL10, BDKRB2, C3, CD14, CFL2, CLIP1, CNR1, CRHR2, CYSLTR1, F2R, F2RL1, FZD7, GAB2, GPR155, GPR34, GPR37L1, GPRC5C, GPRC6A, HRAS, HTR1B, HTR2B, ITGA10, ITGA11, ITGA3, ITGA6, ITGA7, ITGAV, ITGB1, ITPR2, KRAS, LBP, LGR4, LPAR4, LPAR6, MAP2K1, MAP2K3, MAP2K6, MAP2K7, MAPK12, MAPK3, MAPK7, MC5R, MRAS, MRC1, MTOR, MYD88, MYH1, MYH2, MYH3, MYH4, MYH8, MYH9, MYL1, MYL4, MYL9, MYLK, MYLK3, NPY1R, NRAS, PAK4, PIK3CB, PIK3R1, PIK3R3, PIKFYVE, PLA2G3, PLA2G4A, PLA2G4E, PLA2R1, PLAAT3, PLB1, PNPLA8, PRDX6, PRKCE, PRKCI, PRKCQ, PTGER3, PTGER4, PTK2, RALA, RAPGEF1, RHOA, ROCK1, RRAS, RXFP1, S1PR1, S1PR3, TLN2, TLR1, TLR4, TLR5, TLR6, TTN, WASF2, Wasl, WIPF1		positive
Phenylethylamine Degradation I	0	0	0.333	ALDH3A2		no direction
Phospholipases	0	0.905	0.394	LIPG, LPL, PDIA3, PLA1A, PLA2G3, PLA2G4A, PLA2G4E, PLA2R1, PLAAT3, PLB1, PLCD4, PNPLA8, PRDX6		positive
Phototransduction Pathway	0	0	0.267	GNB1, PRKACA, PRKAR1A, PRKAR2B		no direction
Pregnenolone Biosynthesis	0	0	0.364	CYP11A1, CYP26B1, CYP27A1, MICAL2		no direction
Primary Immunodeficiency Signaling	0	0	0.25	IKBKG, TAP1, TNFRSF13C		no direction
Pulmonary Healing Signaling Pathway	0	0.438	0.439	BMPR1B, BMPR2, CCND1, CFL2, CTNNB1, EGFR, ETV5, FGFR2, FZD7, HRAS, IDH2, KRAS, MAPK12, MAPK14, MAPK3, MAPK8, MMP14, MRAS, MYD88, NFATC1, NFKB1, NFKBIA, NGFR, NOTCH1, NOTCH3, NRAS, PDGFC, PRKAA1, PRKAB1, PRKAB2, PRKAG3, PRKCE, PRKCI, PRKCQ, RALA, RRAS, STAT3, TGFB1, TGFB2, TGFB3, TLR4, TNFRSF11B, TNFRSF1B, VEGFD, WNT9A, WWTR1, YAP1		positive
Purine Nucleotides De Novo Biosynthesis II	0	0	0.333	ADSS2, PAICS		no direction
Pyrimidine Deoxyribonucleotides De Novo Biosynthesis I	0	0	0.333	CMPK2, DTYMK, RRM1		no direction
Pyroptosis Signaling Pathway	0	0.816	0.453	BAX, CASP3, DHX9, GBP4, IL1R1, MAPK12, MAPK14, NEK7, NFKB1, NGFR, NOL3, PRKACA, PRKAR1A, PRKAR2B, PTGER4, PYCARD, RHOA, TLR1, TLR4, TLR5, TLR6, TNFRSF11B, TNFRSF1B, TRAF3		positive
RAN Signaling	0	-2	0.308	CSE1L, KPNA3, KPNB1, XPO1		negative
Rapoport-Luebering Glycolytic Shunt	0	0	0.25	BPGM		no direction
Regulation Of The Epithelial Mesenchymal Transition In Development Pathway	0	1.807	0.455	APH1B, CTNNB1, DVL3, FZD7, GLI3, MAML1, NCSTN, NFKB1, NOTCH1, PSEN1, RELA, SNAI2, SUFU, TWIST1, WNT9A		positive
Regulation of eIF4 and p70S6K Signaling	0	-0.408	0.462	AGO2, AGO4, AKT1, AKT2, AKT3, EIF2B2, EIF2B4, EIF3D, EIF3E, EIF3F, EIF3M, EIF4EBP1, EIF4EBP2, EIF4G3, HRAS, IRS1, ITGA10, ITGA11, ITGA3, ITGA6, ITGA7, ITGAV, ITGB1, KRAS, MAP2K1, MAPK12, MAPK14, MAPK3, MKNK1, MRAS, MTOR, NRAS, PAIP1, PAIP2, PDPK1, PIK3CB, PIK3R1, PIK3R3, PPM1J, PPP2CA, PPP2R2B, PPP2R5B, PPP2R5D, RALA, RPS27L, RPS5, RPS7, RRAS		negative
Relaxin Signaling	0	-0.626	0.403	ADCY5, ADCY8, AKT1, AKT2, AKT3, GNA13, GNAI2, GNAL, GNB1, GNB2, GNG2, JUN, MAP2K1, MAPK3, MRAS, NFKB1, NFKBIA, NFKBIB, NPR3, PDE1C, PDE7A, PDE7B, PDE8A, PIK3CB, PIK3R1, PIK3R3, PRKACA, PRKAR1A, PRKAR2B, RELA, RXFP1		negative
Retinoic acid Mediated Apoptosis Signaling	0	1.265	0.458	APAF1, CASP3, FADD, IRF1, PARP4, PARP9, RARA, RARG, RXRG, TIPARP, TNKS		positive
Role of BRCA1 in DNA Damage Response	0	-0.378	0.432	ACTB, ARID1A, ARID2, CDKN1A, E2F6, FANCD2, GADD45A, MSH6, RBL2, RPA1, SMARCA2, SMARCB1, SMARCD2, SMARCD3, TP53, UIMC1		negative
Role of Cytokines in Mediating Communication between Immune Cells	0	0	0.385	IL15, IL17F, IL33, IL6, TGFB1		no direction
Role of IL-17A in Psoriasis	0	0	0.4	IL17RA, IL17RC		no direction
Role of JAK1, JAK2 and TYK2 in Interferon Signaling	0	0	0.4	IFNAR2, NFKB1, RELA, STAT3		no direction
Role of Lipids/Lipid Rafts in the Pathogenesis of Influenza	0	0	0.333	RSAD2		no direction
Role of OCT4 in Mammalian Embryonic Stem Cell Pluripotency	0	-1	0.462	ETS2, JARID2, MEF2A, NR2F1, NR2F2, NR6A1, PHB, RARA, SH3GLB1, SPP1, TP53, WWP2		negative
Role of Pattern Recognition Receptors in Recognition of Bacteria and Viruses	0	1.46	0.456	C3, CCL5, DDX58, EIF2AK2, IL15, IL17F, IL33, IL6, IRF3, LTB, MAPK12, MAPK3, MAPK8, MYD88, NFKB1, PIK3CB, PIK3R1, PIK3R3, PRKCE, PRKCI, PRKCQ, RELA, TGFB1, TGFB2, TGFB3, TLR1, TLR4, TLR5, TLR6, TNFSF12, TRAF6		positive
Role of WNT/GSK-3β Signaling in the Pathogenesis of Influenza	0	0	0.292	CSNK1A1, CSNK1E, CTNNB1, DVL3, FZD7, NCOA1, WNT9A		no direction
SNARE Signaling Pathway	0	-2.121	0.427	ADCY5, ADCY8, CACNB1, CACNB4, Calm1 (includes others), CAMK2D, CAMK2G, GOSR2, GPAA1, MYH1, MYH2, MYH3, MYH4, MYH8, MYH9, MYL1, MYL4, MYL9, NAPB, NAPG, PRKACA, PRKAR1A, PRKAR2B, RAB1A, RAB6A, SNAP23, STX16, STXBP3, STXBP5, SYT11, SYT12, VTI1B		negative
SPINK1 Pancreatic Cancer Pathway	0	-0.378	0.438	CPD, CPE, CPQ, F2RL1, SMAD3, TGFB1, TGFBR2		negative
Serotonin Degradation	0	-0.707	0.4	ALDH1A1, ALDH3A2, Aldh3b2, DHRS4, LARGE1, MAOA, MAOB, SMOX		negative
Sirtuin Signaling Pathway	0	1.588	0.462	ABCA1, ADAM10, AKT1, APP, ARNTL, ATG13, ATG2A, ATG9A, ATG9B, ATP5F1C, ATP5F1D, ATP5MC1, BAX, BCL2L11, BPGM, CPT1A, DUSP6, FOXO1, FOXO4, GABPA, GADD45A, GADD45G, GLS, GOT2, GTF3C2, H1-0, H1-2, H3-3A/H3-3B, IDH2, JUN, LDHA, MAP1LC3A, MAP1LC3B, MAPK12, MAPK3, MAPK7, MT-CYB, MT-ND1, MT-ND2, MT-ND4, MTOR, NAMPT, NDRG1, NDUFA10, NDUFA6, NDUFA9, NDUFAF1, NDUFB5, NDUFB7, NDUFS1, NDUFV1, NDUFV2, NFKB1, NQO1, NR1H2, NR1H3, NR1H4, PDHA1, PDK1, PFKM, PPARA, PPARG, PPARGC1A, PRKAA1, RELA, RPTOR, SDHD, SF3A1, SIRT2, SIRT5, SIRT6, SLC2A1, SOD3, SREBF1, STAT3, TIMM10, TIMM13, TIMM22, TOMM70, TP53, TRIM28, TSPO, TUBA1A, UCP2, UQCRC2, ZBTB14		positive
Sonic Hedgehog Signaling	0	1.134	0.438	DYRK1B, GLI3, PRKACA, PRKAR1A, PRKAR2B, STK36, SUFU		positive
Sperm Motility	0	-0.655	0.412	AATK, CACNA1H, Calm1 (includes others), DSTYK, EGFR, EPHA3, EPHB2, EPHB3, ERBB2, ERBB3, ERBB4, FER, FGFR2, GNA13, GNAI2, GNAL, GNB1, GNB2, GNG2, INSR, ITPR2, LMTK2, MAP2K1, MAP2K3, MAP2K6, MAP2K7, MERTK, MET, MRAS, MUSK, PDE1C, PDGFRA, PDIA3, PLA2G3, PLA2G4A, PLA2G4E, PLA2R1, PLAAT3, PLB1, PLCD4, PNPLA8, PRDX6, PRKACA, PRKAR1A, PRKAR2B, PRKCE, PRKCI, PRKCQ, PRKG1, PTK2, RET, ROS1, SLC12A2, TEK		negative
Sphingomyelin Metabolism	0	0	0.333	SGMS1, SGMS2		no direction
Sphingosine and Sphingosine-1-phosphate Metabolism	0	0	0.2	ASAH2		no direction
Stearate Biosynthesis I (Animals)	0	-0.333	0.429	ACSL1, ACSL3, ACSL5, ACSL6, AKR1B10, ELOVL1, LPGAT1, MBOAT7, PRXL2B, SLC27A1, TECR, THEM4		negative
Superoxide Radicals Degradation	0	0	0.286	NQO1, SOD3		no direction
Superpathway of Melatonin Degradation	0	-0.816	0.286	CYP2U1, LARGE1, MAOA, MAOB, POR, SMOX		negative
